la-maintained-school-eng	school-type	foundation-trust	school-federation
100911	1		
100912	1		
100913	1		
100914	1		
100915	1		
100916	1		
100917	1		
100918	1		
100919	1		
100920	1		
100921	1		
100922	1		
100923	1		
100924	1		
100925	1		
100926	1		
100927	1		
100928	1		
100929	1		
100930	1		
100931	1		
100932	1		
100933	1		
100934	1		
100935	1		
100936	1		
100937	1		
100938	1		
100939	1		
100940	1		
100941	1		
100942	1		
100943	1		
100944	2		
100945	2		
100946	2		
100947	2		
100948	2		
100949	2		
100950	2		
100951	2		
100952	2		
100953	2		St John's & St Paul's Whitechapel Federation
100954	2		
100955	2		
100956	2		
100957	2		
100958	2		
100959	2		St John's & St Paul's Whitechapel Federation
100960	2		
100961	2		
100962	2		
100963	2		
100964	2		
100965	1		
100966	1		
100967	1		
100968	1		
100969	1		
100970	5		
100971	1		
100972	1		
100973	1		
100974	3		
100975	2		
100976	2		
100977	2		
100978	2		The Bishop Challoner Federation of Schools
100979	2		
100983	7		
100984	7		
100985	7		
100986	7		
100987	7		
100988	7		
100989	7		
100990	15		
100991	15		
100992	15		
100993	14		
100994	14		
100995	1		
100996	1		
100997	1		
100998	1		
100999	1		
101000	1		
101001	1		
101002	1		
101003	1		
101004	5		
101005	1		
101006	1		
101007	1		
101008	1		
101009	1		
101010	1		
101011	5		
101012	5		
101013	1		
101014	1		
101015	1		
101016	1		
101017	1		
101018	1		
101019	1		
101020	1		
101021	1		
101022	1		
101023	1		
101024	1		
101025	1		
101026	1		
101027	1		
101028	1		
101029	1		
101030	1		
101031	1		
101032	5		
101033	1		
101034	2		
101035	2		
101036	2		
101037	2		
101038	2		
101039	2		
101040	2		
101041	2		
101042	2		
101043	2		
101044	2		
101045	2		
101046	2		
101047	2		
101048	2		
101049	2		
101050	2		
101051	2		
101052	2		
101053	1		
101054	5		
101055	5		
101056	5		
101057	5		
101058	5		
101059	5		
101060	5		
101061	2		
101062	2		
101063	5		
101093	7		
101094	7		
101095	7		
101096	7		
101097	7		
101098	7		
101099	7		
101100	7		
101101	7		
101102	7		
101103	7		
101104	15		
101105	15		
101106	15		
101107	1		
101108	1		
101109	1		
101110	1		
101111	1		
101112	1		
101113	1		
101114	1		
101115	1		
101116	1		
101117	1		
101118	1		
101119	1		
101120	1		
101121	2		
101122	2		
101123	2		
101124	2		
101125	2		
101126	2		
101127	2		
101128	2		
101129	2		
101130	2		
101131	2		
101132	2		
101133	2		
101134	2		
101135	2		
101136	2		
101137	2		
101138	2		
101139	2		
101140	2		
101141	2		
101142	2		
101143	2		
101144	2		
101145	2		
101146	2		
101147	2		
101148	1		
101149	5		
101150	1		
101151	2		
101152	2		
101153	2		
101154	2		
101155	2		
101182	7		Federation of College Park and Queen Elizabeth II Jubilee Schools
101183	7		
101184	7		Federation of College Park and Queen Elizabeth II Jubilee Schools
101185	1		
101186	1		
101187	1		
101188	1		
101189	1		
101190	1		
101191	1		
101192	1		
101193	1		
101194	1		
101195	1		
101196	1		
101197	1		
101198	1		
101199	1		
101200	1		
101201	1		
101202	1		
101203	1		The Federation of Warren Junior School and Furze Infants School
101204	1		
101205	1		
101206	1		
101207	1		
101208	1		
101209	1		
101210	1		
101211	1		
101212	1		
101213	1		
101214	1		
101215	1		
101216	1		
101217	1		
101218	1		
101219	1		The Federation of Warren Junior School and Furze Infants School
101220	1		
101221	1		
101222	1		
101223	1		
101224	1		
101225	1		
101226	1		
101227	1		
101228	1		
101229	1		
101230	1		
101231	1		
101232	1		
101233	2		
101234	2		
101235	2		
101236	2		
101237	2		
101238	2		
101239	2		
101240	1		
101241	1		
101242	1		
101243	1		
101244	1		
101245	1		
101246	1		
101247	2		
101248	7		
101249	7		
101250	7		
101251	15		Barnet Early Years Alliance
101252	15		Barnet Early Years Alliance
101253	15		
101254	15		Barnet Early Years Alliance
101255	14		
101256	14		
101257	1		
101258	1		
101259	1		
101260	1		
101261	1		
101262	1		The Brookland Federation
101263	1		The Brookland Federation
101264	1		
101265	1		
101266	1		
101267	1		
101268	1		
101269	1		
101270	1		
101271	1		
101272	1		
101273	1		
101274	1		
101275	1		
101276	1		
101277	1		
101278	1		
101279	1		
101280	1		
101281	1		The Garden Suburb Federation
101282	1		The Garden Suburb Federation
101283	1		Goldstar
101284	1		
101285	5		
101286	1		
101287	1		
101288	1		
101289	1		
101290	1		
101291	1		
101292	1		
101293	1		
101294	1		
101295	1		
101296	1		
101297	1		
101298	1		
101299	1		
101300	1		
101301	1		
101302	1		
101303	1		
101304	1		
101305	1		
101306	1		
101307	1		
101308	1		
101309	1		
101310	1		
101311	1		
101312	1		
101313	1		
101314	1		
101315	2		
101316	2		
101317	2		
101318	2		
101319	2		
101320	2		
101321	2		
101322	2		
101323	2		
101324	2		
101325	2		
101326	2		
101327	2		
101328	2		
101329	2		
101330	2		
101331	2		
101332	2		
101333	2		
101334	2		
101335	2		
101336	2		
101337	2		
101338	2		
101339	2		
101340	2		
101341	2		
101342	2		
101343	2		
101344	1		
101345	1		
101346	1		
101347	5		
101348	1		
101349	1		
101350	1		
101351	1		
101352	1		
101353	2		
101354	2		
101355	5		
101356	5		
101357	5		
101358	5		
101359	5		
101360	2		
101361	2		
101362	2		
101363	5		
101364	2		
101365	2		
101366	2		
101376	2		
101394	7		
101395	7		
101396	7		
101397	7		
101398	15		
101399	14		
101400	14		
101401	1		
101402	1		
101403	1		
101404	1		
101405	1		
101406	1		
101407	1		
101408	1		
101409	1		
101410	1		
101411	1		
101412	1		
101413	1		
101414	1		
101415	1		
101416	1		
101417	1		
101418	1		
101419	1		
101420	1		
101421	1		
101422	1		
101423	1		
101424	1		
101425	1		
101426	1		
101427	1		
101428	1		
101429	1		
