school-eng	name	address	minimum-age	maximum-age	school-capacity	headteacher	school-type	start-date	end-date
117183	Kenilworth Primary School	10034169532	3	11	210	Ms S Jayasuriya	Local authority maintained		
117184	Meryfield Primary School	10034169892	3	11	441	Mrs Rosemarie Alexander	Local authority maintained		
117185	Salisbury Infants' School	200003858426	5	7		Mrs M Rimell	Local authority maintained		1999-09-01
117186	Icknield Infant and Nursery School	100081258644	3	7	342	Mrs J Egan	Local authority maintained		
117187	Bowmansgreen Primary School	200003637592	4	11	420	Ms Anna Lippa	Local authority maintained		
117188	Margaret Wix Primary School	200003637356	3	11	248	Mr Damien Johnston	Local authority maintained		
117189	Broom Barns Community Primary School	10070250376	4	11	210	Mrs Jayne Currant	Local authority maintained		
117190	Lea Farm Junior School	10002004088	7	11	240	Mrs J M Graham	Local authority maintained		2005-08-31
117191	Alban Wood Junior School	200000931010	7	11	240	Mr K Sampey	Local authority maintained		2005-08-31
117192	Little Furze Junior Mixed and Infant School	200000936325	3	11	210	Mr D G Dougans	Local authority maintained		2004-12-16
117193	Greenfields Primary School	100081284075	3	11	210	Mrs Helen Cook	Local authority maintained		
117194	Woodhall Primary School	200000936996	3	11	250	Mrs E Lesley Spence	Local authority maintained		
117195	Saffron Green Primary School	10034169598	3	11	210	Mrs Linda Storey	Local authority maintained		
117196	Hazelgrove Primary School	100081151536	4	11	210	Mr J S Dunford	Local authority maintained		2004-08-31
117197	Hobletts Manor Infants' School	10002012809	3	7	180	Mrs Wendy Hull	Local authority maintained		
117198	Chaulden Junior School	100081328294	7	11	150	Ms Pam Stocks	Local authority maintained		2013-04-30
117199	Roebuck Junior School	10070251057	7	11		Mr R K Jones	Local authority maintained		2001-04-18
117200	Bedwell Primary School	10070251555	4	11	360	Mrs J E Moore	Local authority maintained		
117201	Flamstead End Junior School	148003391	7	11	240	Mr Don Round	Local authority maintained		2003-08-31
117202	Chaulden Infants' and Nursery	10002013521	3	7	150	Mrs Jacqueline Susan Hood	Local authority maintained		
117203	Haslewood Junior School	148027916	7	11		Mr J Schmitt	Local authority maintained		2002-12-31
117204	Roebuck Infant School	10070251057	3	7		Mrs M A Dodds	Local authority maintained		2001-04-18
117205	Peartree Spring Junior School	200000584791	7	11	360	Mrs Teresa Skeggs	Local authority maintained		2014-08-31
117206	Peartree Spring Primary School	10013383711	4	11	630	Mrs Teresa Skeggs	Local authority maintained		
117207	Longmeadow Junior School	200000586715	7	11	300	Mr T Longhurst	Local authority maintained		2005-08-31
117208	Longmeadow Infant and Nursery School	200000586715	3	7	270	Mrs J Wilson	Local authority maintained		2005-08-31
117209	Bandley Hill Junior School	10070251951	7	11			Local authority maintained		1998-03-20
117210	Bandley Hill Infants' School	10070251951	5	7			Local authority maintained		1998-03-20
117211	Roundwood Primary School	200003641454	3	11	315	Mrs Suzanne Webb	Local authority maintained		
117212	Wheatfields Junior Mixed School	200003641308	7	11	363	Mr Lyndon Evans	Local authority maintained		
117213	Thumbswood Infant School	100081157149	5	7		Mr P J Steven	Local authority maintained		2001-12-31
117214	Chambersbury Primary School	100081182812	3	11	210	Mr Desmond Taylor	Local authority maintained		
117215	Broadfield Junior School	200004057767	7	11	240	Mr Matthew Heasman	Local authority maintained		2007-12-31
117216	Broadfield Infants' School	100081177244	3	7	180	Mrs Jane Prior	Local authority maintained		2007-12-31
117217	Windermere Primary School	100081150932	5	11	210	Mrs Davina Raftery	Local authority maintained		
117218	Anstey First School	10034621124	2	9	63	Mrs Amy Myers	Local authority maintained		
117219	Monksmead School	10034169521	2	11	243	Mrs Cathy Elsley	Local authority maintained		
117220	Howe Dell Primary School	10014209900	3	11	420	Mrs Debra Massey	Local authority maintained		
117221	Almond Hill Junior School	200000586959	7	11	240	Mrs Judith Lovelock	Local authority maintained		
117222	Oakwood Primary School	100081154386	4	11	315	Ms Zoe Buckley	Local authority maintained		
117223	Northfields Infants and Nursery School	100081258877	3	7	180	Miss Claire Logan	Local authority maintained		
117224	Purwell Primary School	200001853403	3	11	243	Mr Richard Cano	Local authority maintained		
117225	Killigrew Junior School	200003641146	7	11	240	Mrs Tracy Mylotte	Local authority maintained		2008-08-31
117226	Camps Hill Community Primary School	10070251971	2	11	550	Mrs Emma Flawn	Local authority maintained		
117227	Harwood Hill Junior Mixed Infant and Nursery School	200003857964	3	11	240	Miss Yvette Page	Local authority maintained		
117228	Fair Field Junior School	10034169324	7	11	240	Mr Matt Johnson	Local authority maintained		2015-03-31
117229	Creswick Primary and Nursery School	10014209932	4	11	420	Mrs Fay Brett	Local authority maintained		
117230	Thorley Hill Primary School	100081159524	3	11	240	Mrs Kim Perez	Local authority maintained		
117231	Micklem Primary School	100081165737	3	11	210	Miss Elizabeth Ormonde	Local authority maintained		
117232	Mayfield Infants' School and Nursery	148017382	3	7	150	Mrs Brenda Mitchell	Local authority maintained		2010-08-31
117233	Brookland Junior School	148018474	7	11	330	Mr Gavin Douglas	Local authority maintained		
117234	The Reddings Primary School	100081182811	3	11	240	Miss Tracy Prickett	Local authority maintained		
117235	How Wood Primary and Nursery School	200003641156	3	11	220	Mrs Cynthia Rowe	Local authority maintained		
117236	Redbourn Infants' and Nursery School	10024117569	3	7	180	Mrs Jane C Byrne	Local authority maintained		
117237	Lodge Farm Junior Mixed School	10070252008	7	11		Mrs L Stinchcombe	Local authority maintained		2000-04-30
117238	Lodge Farm Infants' School	10070252008	3	7		Mrs C Rodbard	Local authority maintained		2000-04-30
117239	Rossgate Primary School	100081165766	3	11	315	Mrs Margaret Priggs	Local authority maintained		2008-08-31
117240	Skyswood Primary & Nursery School	100081154941	3	11	210	Mr Robert Bridle	Local authority maintained		
117241	Martindale Primary and Nursery School	100081165738	3	11	210	Mrs Jill Litchfield	Local authority maintained		2008-08-31
117242	Bushey Manor Junior School	10034170935	7	11	240	Miss Kate Fiddler	Local authority maintained		
117243	Goffs Oak Primary & Nursery School	148005594	3	11	210	Ms Michelle Matthews	Local authority maintained		
117244	Summercroft Junior School	10033098046	7	11	240	Mr Michael Smith	Local authority maintained		2005-12-31
117245	Eastbury Farm Primary School	200000940101	3	11	315	Mrs Baljit Ahluwalia	Local authority maintained		
117246	Burydale Junior School	10070251488	7	11	150	Miss L Hodgson	Local authority maintained		2005-08-31
117247	Shephall Green Infant and Nursery School	200000586615	3	7	180	Ms Lee Rieksts	Local authority maintained		2005-08-31
117248	Bedmond Village Primary and Nursery School	200000937879	3	11	150	Mrs Emma Woollon	Local authority maintained		
117249	Gade Valley Primary School	100081313337	3	11	210	Mr Daniel Barron	Local authority maintained		
117250	Cunningham Hill Junior School	200003636677	7	11	270	Ms J Elbourne-Cload	Local authority maintained		
117251	Pin Green Primary School and Nursery	10070251194	4	11	240	Ms Carole Sangster	Local authority maintained		2005-08-31
117252	Homerswood Primary and Nursery School	200003858063	3	11	210	Mrs Debbie Shirley	Local authority maintained		
117253	Whitehill Junior School	100081256105	7	11	240	Mr Steve Mills	Local authority maintained		
117254	Westfield Primary School and Nursery	200004058124	3	11	240	Mrs Suzanne Stace	Local authority maintained		
117255	Downfield Primary School	148013990	2	11	420	Miss Sarah Goldsmith	Local authority maintained		
117256	Pixies Hill Primary School	100081165735	4	11	210	Mr Martin Smith	Local authority maintained		
117257	Rowans Primary School	100081156441	3	11	210	Mrs Joanne Reed	Local authority maintained		
117258	The Grove Junior School	100081155001	7	11	360	Ms Maggie Clifford	Local authority maintained		
117259	Pixmore Junior School	100081257416	7	11	240	Mrs Alex Evans	Local authority maintained		
117260	Swing Gate Infant School and Nursery	100081183860	3	7	180	Mrs Francesca Gallagher	Local authority maintained		
117261	Oaklands Primary School	100081155961	5	11	210	Mrs Julie Petitt	Local authority maintained		
117262	Flamstead End Infant and Nursery School	148003390	3	7	247	Mrs S A Killey	Local authority maintained		2003-08-31
117263	Hollybush Primary School	10033098623	3	11	240	Mr Alan Brown	Local authority maintained		
117264	Oughtonhead Junior School	200001853411	7	11		Mrs A Kibby	Local authority maintained		2001-09-01
