address	parent-address	primary-address	street	name	name-cy	point	end-date
139Z9V			15623216	BAY HOUSE SCHOOL		[50.7876114,-1.1643405]	
13A1ZF			15623031	ALVERSTOKE COUNTY INFANT SCHOOL		[50.7839137,-1.1491851]	
13A21Q			15623047	27 MARYCOURT CO-EDUCATIONAL SCHOOL		[50.7819492,-1.1437171]	
13A2KP			15622964	HASELWORTH COUNTY PRIMARY SCHOOL		[50.791256,-1.1375173]	
13A39D			15623033	ALVERSTOKE C OF E JUNIOR SCHOOL		[50.788965,-1.1488097]	
13A4B9			15623341	LEESLAND INFANT SCHOOL		[50.795444,-1.1432435]	
13A4BA			15623218	LEESLAND C OF E CONTROLLED JUNIOR SCHOOL		[50.7948406,-1.1431268]	
13A51J			15623284	NEWTOWN PRIMARY SCHOOL		[50.7981229,-1.1345955]	
13A93Y			15622574	PEEL COMMON COUNTY JUNIOR SCHOOL		[50.8221107,-1.1837707]	
13AAKF			15623007	GOMER COUNTY INFANT SCHOOL		[50.791952,-1.1589283]	
13AG1Z			15622776	CHERUBS PRE-SCHOOL		[50.8058613,-1.2033524]	
142M			4536367	CLAREMONT SPECIAL SCHOOL		[51.4844631,-2.6038154]	
147NDD			23600005	ST CLARES R C PRIMARY SCHOOL		[53.3943233,-2.9330347]	2010-10-04
147NGT			23600009	WELLESBOURNE ADULT CENTRE		[53.445786,-2.9258806]	
147QZ2			23600063	SUDLEY JUNIOR SCHOOL		[53.3694765,-2.9274565]	
147QZ6			23600063	FORMER ST MARGARETS C OF E HIGH SCHOOL		[53.3686814,-2.9291376]	2010-03-26
147RZ7			23600086	ST AMBROSE R C PRIMARY SCHOOL		[53.3412506,-2.8206856]	2010-10-04
147SS2			23600104	ROSCOE INFANT SCHOOL		[53.4305984,-2.9277782]	2010-10-04
147TTD			23600121	65 MARGARET BEAVAN SPECIAL SCHOOL		[53.4341341,-2.9145339]	
147WMJ			23600157	125 FORMER ANFIELD COUNTY PRIMARY JUNIOR SCHOOL		[53.4289251,-2.9542007]	2010-10-04
147XSW			23600208	RAINBOW HOUSE NURSERY		[53.4426755,-2.9704441]	
147ZJ3			23600258	ST CUTHBERTS R C PRIMARY SCHOOL		[53.4139278,-2.9249781]	2010-10-04
1480ZP			23600349	BANKFIELD CENTRE		[53.4255536,-2.9234957]	
148135			23600356	HOLY TRINITY CATHOLIC PRIMARY SCHOOL		[53.3497145,-2.8914088]	
148138			23600356	BANKS ROAD PRIMARY SCHOOL		[53.3488362,-2.8934635]	
1481JZ			23600369	BARLOWS PRIMARY SCHOOL		[53.4689882,-2.9405462]	
1482Y0			23600412	ST FRANCIS XAVIER'S COLLEGE		[53.3826784,-2.8802805]	
1483BQ			23600430	WALTON ST MARY CHURCH OF ENGLAND PRIMARY SCHOOL		[53.4463038,-2.9690795]	2010-10-04
14850F			23600481	23 BELVEDERE PREPARATORY SCHOOL		[53.3828146,-2.9550488]	
1485RA			23600506	BELLE VALE COMMUNITY PRIMARY SCHOOL		[53.3878687,-2.8587509]	
1488NM			23600593	WHITEFIELD COMMUNITY PRIMARY SCHOOL		[53.4195583,-2.9576324]	
148C0B			23600695	RICE LANE JUNIOR SCHOOL		[53.4590987,-2.9633412]	2015-11-06
148CS4			23600716	NORMAN PANNELL PRIMARY SCHOOL		[53.386832,-2.8414844]	
148E91			23600769	NEW PARK PRIMARY SCHOOL		[53.4152467,-2.9527661]	
148GJF			23600854	DE LA SALLE R C HIGH SCHOOL		[53.4474868,-2.9068704]	2013-01-31
148HHW			23600892	71		[53.4625375,-2.9548636]	
148JYJ			23600943	ST PASCHAL BAYLON R C PRIMARY SCHOOL		[53.4010259,-2.8739511]	2010-10-04
148KYC			23600965	FORMER ASHFIELD SPECIAL SCHOOL		[53.3943398,-2.8815009]	2010-10-04
148NDG			23601001	THE BLUE COAT SCHOOL		[53.3936397,-2.9162911]	
148NG4			23601003	BISHOP MARTIN CHURCH OF ENGLAND PRIMARY SCHOOL		[53.3759507,-2.8710475]	
148PMG			23601026	CLARENCE STREET		[53.4043944,-2.9731913]	
148T7T			23601150	CHILDWALL VALLEY PRIMARY SCHOOL		[53.3961592,-2.8695353]	
148VTW			23601200	62 ST HILDAS C OF E HIGH SCHOOL		[53.3882899,-2.9390225]	2010-10-04
1490CY			23601345	MATTHEW ARNOLD PRIMARY SCHOOL		[53.3788599,-2.96171]	
1490EN			23601348	UNIVERSITY ACADEMY		[53.3782177,-2.9588544]	
14932Z			23601447	SUDLEY INFANT SCHOOL		[53.3722169,-2.9276213]	
14940G			23601482	ST HUGHS R C PRIMARY SCHOOL		[53.3985827,-2.9400913]	2010-10-04
14943C			23601485	ST FRANCIS OF ASSISI R C PRIMARY SCHOOL		[53.3566099,-2.8996963]	
1494TP			23601495	EAST PRESCOT ROAD NURSERY SCHOOL		[53.4160143,-2.9024695]	
149615			23601513	LIVERPOOL UNIVERSITY DEPARTMENT OF ENDOCRINOLOGY		[53.4202583,-2.8987222]	
1497F4			23601552	OUR LADY OF RECONCILIATION R C PRIMARY SCHOOL		[53.4170769,-2.9885873]	
1497MG			23601560	86 ELLERGREEN NURSERY SCHOOL AND CHILDCARE CENTRE		[53.4447392,-2.9194289]	
149B1F			23601670	68		[53.3992301,-2.9660046]	
149DQH			23601752	HOLY CROSS CATHOLIC PRIMARY SCHOOL		[53.4122848,-2.984369]	
149DS4			23601753	KIRKDALE ST LAWRENCE CHURCH OF ENGLAND PRIMARY SCHOOL		[53.4362147,-2.9819563]	
149E58			23601765	FAZAKERLEY PRIMARY SCHOOL		[53.4678448,-2.9234832]	
149G4P			23601830	GARSTON UNITED REFORMED CHURCH		[53.3610468,-2.9025546]	2014-09-04
149NMY			23602001	LIVERPOOL COMMUNITY COLLEGE		[53.4281048,-2.9822059]	2014-09-04
149NRA			23602012	24 ST CECILIAS R C JUNIOR PRIMARY SCHOOL		[53.4231624,-2.9292266]	2010-10-04
149NY0			23602013	OUR LADYS BISHOP ETON R C PRIMARY SCHOOL		[53.3886228,-2.8992287]	2014-09-04
149P71			23603187	GREENBANK PRIMARY SCHOOL		[53.3889643,-2.9251587]	
149RGM			23602099	ST MICHAELS CATHOLIC PRIMARY SCHOOL		[53.4176756,-2.951391]	
149SBA			23602123	ST FRANCIS DE SALES R C JUNIOR PRIMARY SCHOOL		[53.4424408,-2.9735333]	2014-01-13
149SS0			23602132	SACRED HEART R C PRIMARY SCHOOL		[53.4086445,-2.9600501]	2014-09-04
149VX1	149VX2		23602196	QUARRY BANK WING		[53.3831409,-2.9014584]	
149VX2			23602196	CALDERSTONES SCIENCE COLLEGE		[53.3825637,-2.9017169]	
149YG6			23602272	OUR LADY OF THE ASSUMPTION R C JUNIOR SCHOOL		[53.3908387,-2.8613094]	2010-10-04
149Z1E			23602296	DOVEDALE INFANT SCHOOL		[53.3857914,-2.915813]	
149ZNT			23602314	THE BEACON CHURCH OF ENGLAND PRIMARY SCHOOL		[53.4246916,-2.9709007]	
14A1J8			23602364	16 ST SEBASTIANS R C PRIMARY SCHOOL		[53.4102277,-2.9383923]	2010-10-04
14A1RK			23602371	GARSTON CHURCH OF ENGLAND PRIMARY SCHOOL		[53.3563903,-2.8918186]	
14A2AR			23602383	84 CARDINAL HEENAN R C HIGH SCHOOL		[53.4234972,-2.8899269]	2010-10-04
14A95R			23602576	HUNTS CROSS COMMUNITY PRIMARY SCHOOL		[53.3580119,-2.853177]	
14ACBJ			23602671	LAWRENCE COMMUNITY PRIMARY SCHOOL		[53.3977711,-2.9358473]	
14ADT4			23602720	110 BLACKMOOR PARK COUNTY PRIMARY JUNIOR SCHOOL		[53.4257656,-2.8931045]	2010-10-04
14ADV7			23602720	45-65 BLACKMOOR PARK INFANT SCHOOL		[53.4281093,-2.8970366]	
14AHHH			23602133	LONGMOOR PRIMARY SCHOOL		[53.465397,-2.9558617]	
14AK15			23602839	LIVERPOOL MENCAP MENCAP HOUSE		[53.4368939,-2.9319496]	2014-09-04
14AMAH			23602885	FORMER RICE LANE COUNTY PRIMARY INFANTS SCHOOL		[53.4593312,-2.9634821]	2010-10-04
14AMGP			23602890	MAB LANE PRIMARY SCHOOL		[53.4334567,-2.8753236]	
14APMP			23602957	ST FRANCIS DE SALES R C INFANTS PRIMARY SCHOOL		[53.4435824,-2.9724303]	2010-10-04
14ARMB			23603023	CHRIST THE KING CATHOLIC PRIMARY SCHOOL		[53.3997276,-2.9011323]	
14ARNY			23603025	ST MARYS (WEST DERBY) CHURCH OF ENGLAND PRIMARY SCHOOL		[53.4335132,-2.9099146]	
14AVNS			23603106	MERSEY VIEW SPECIAL SCHOOL		[53.3680124,-2.9307912]	2013-01-31
14AWCY			23603143	MONKSDOWN COUNTY PRIMARY INFANTS SCHOOL		[53.4414229,-2.9146753]	2010-10-04
14AWFS			23600494	ST CLEOPAS C OF E PRIMARY SCHOOL		[53.382036,-2.9680208]	2010-10-04
14AWFW	14H5NM		23603147	3 ST OSWALDS R C JUNIOR PRIMARY SCHOOL		[53.4112874,-2.9141491]	2010-10-04
14AY25			23603185	CROXTETH COMMUNITY PRIMARY SCHOOL		[53.4556432,-2.894454]	
14AY6B			23603192	HOLY NAME CATHOLIC PRIMARY SCHOOL		[53.4673252,-2.9290607]	
14AYGV			23603205	ARCHBISHOP BLANCH C OF E HIGH SCHOOL		[53.4060788,-2.9594335]	
14B1V2			23603315	OUR LADY OF MOUNT CARMEL R C PRIMARY SCHOOL		[53.3871817,-2.9652958]	2010-10-04
14B26T			23603326	NORTHWAY PRIMARY SCHOOL AND NURSERY		[53.4047168,-2.9082171]	
14B2KS			23603337	130 OUR LADY IMMACULATE R C PRIMARY SCHOOL		[53.4260824,-2.9734155]	2010-10-04
14B35N			23603358	17		[53.4268366,-2.9545903]	
14B36B			23603358	ALL SAINTS CATHOLIC PRIMARY SCHOOL		[53.4277407,-2.9539333]	
14B3FM			23603362	BROADGREEN PRIMARY SCHOOL		[53.4115347,-2.9088287]	
14B4R0			23603417	ST NICHOLAS R C PRIMARY SCHOOL		[53.4048576,-2.9715021]	2010-10-04
14B585			23603432	ST ANNES R C PRIMARY SCHOOL		[53.4014151,-2.9536003]	2010-10-04
14B586			23603432	CHRISTIAN FELLOWSHIP SCHOOL		[53.4027088,-2.9536894]	
14B6AB			23603474	65-67 AUCKLAND COLLEGE		[53.3796042,-2.9484375]	
14B7KJ			23602316	ST SILAS C OF E PRIMARY SCHOOL		[53.3878942,-2.9613249]	2010-10-04
14B8V4			23603559	PINEHURST PRIMARY SCHOOL		[53.4340483,-2.9474665]	
14B90W			23603560	PINEHURST COUNTY INFANTS SCHOOL		[53.4325613,-2.9490892]	2010-10-04
14B95A			23603565	ST VINCENT DE PAUL CATHOLIC PRIMARY SCHOOL		[53.3997088,-2.982274]	
14B9K0			23603575	PLEASANT STREET PRIMARY SCHOOL		[53.4048887,-2.9732026]	
14BAZR			23603609	ST ANNES (STANLEY) CHURCH OF ENGLAND PRIMARY SCHOOL		[53.4154596,-2.918662]	
14BCJF			23603660	NEWBOROUGH PREPARATORY SCHOOL		[53.3776476,-2.8774558]	
14BCKX			23603667	4		[53.4467644,-2.9635591]	
