academy-school-eng	school-type	academy-trust	school-trust-join-date	academy-sponsor
140120	34		2013-01-09	Brooke Weston Trust
140122	44	company:08036395	2013-01-09	
140123	34	company:08611863		
140124	34	company:08597962	2013-01-09	Park SEN - Anchorsholme PS - Devonshire PS
140125	34	company:08627834	2013-01-09	
140126	34	company:08608177	2013-01-09	The St John Bosco MAC (Dudley)
140127	34	company:08599777		
140128	34	company:08597962	2013-01-09	Park SEN - Anchorsholme PS - Devonshire PS
140129	34	company:08550110	2013-01-09	The Newman Collegiate MAC (North Stoke)
140130	34	company:08339302	2013-01-09	
140131	34	company:08624157	2013-01-09	
140132	34	company:08624157	2013-01-09	
140133	44	company:08056907	2013-01-09	Enquire Learning Trust
140134	34	company:08588099		
140135	34	company:08644320		
140136	34	company:08591050		
140137	34	company:08339302	2013-01-09	
140138	44	company:06625091	2013-01-09	Academies Enterprise Trust (AET)
140139	34	company:08627834	2013-01-09	
140140	34	company:08593820		
140141	34	company:08550110	2013-01-09	The Newman Collegiate MAC (North Stoke)
140142	34	company:08623343		
140143	44	company:08597962	2013-01-09	Park SEN - Anchorsholme PS - Devonshire PS
140144	34	company:08608177	2013-01-09	The St John Bosco MAC (Dudley)
140145	34	company:08550110	2013-01-09	The Newman Collegiate MAC (North Stoke)
140146	34	company:08550110	2013-01-09	The Newman Collegiate MAC (North Stoke)
140147	34	company:08608177	2013-01-09	The St John Bosco MAC (Dudley)
140148	34	company:08550110	2013-01-09	The Newman Collegiate MAC (North Stoke)
140149	34	company:08550110	2013-01-09	The Newman Collegiate MAC (North Stoke)
140150	34	company:08550110	2013-01-09	The Newman Collegiate MAC (North Stoke)
140151	34	company:08550110	2013-01-09	The Newman Collegiate MAC (North Stoke)
140152	34	company:08627834	2013-01-09	
140153	34	company:08627834	2013-01-09	
140154	34	company:08621160		
140158	28	company:07867577	2013-01-10	Aspirations Academies Trust (AAT)
140159	28	company:07893665	2014-01-02	The Griffin Schools Trust
140160	40	company:07898669		
140161	28	company:05398529	2014-01-01	Oasis Community Learning
140167	28	company:08452281	2015-01-09	REAch2
140168	28	company:07559256	2013-01-12	Valley Invicta Academies Trust
140169	28	company:07386086	2013-01-11	School Partnership Trust Academies (SPTA)
140170	28			
140172	28	company:07189647	2013-01-12	Northern Education Trust
140173	28	company:08116706	2013-01-10	The Elliot Foundation Academies Trust
140174	28	company:08116706	2013-01-10	The Elliot Foundation Academies Trust
140175	28	company:08735454	2013-01-11	Belgrave St Bartholomew's Academy
140176	33			The Adelaide Academy Trust
140177	28	company:07462885	2013-01-11	Wakefield City Academies Trust
140178	28	company:08813173	2014-01-04	Diocese of York Educational Trust
140179	28	company:07185046	2013-01-11	University of Brighton
140180	28	company:08709542	2013-01-11	Diocese of Chelmsford
140181	28	company:08709542	2016-01-09	Diocese of Chelmsford
140182	28	company:08595545	2013-01-11	University of Chichester Academy Trust, West Sussex
140183	28		2014-01-01	Diocese of Hereford
140184	28	company:06182612	2013-01-11	David Ross Education Trust (DRET)
140185	28	company:08737412	2014-01-04	Diocese of Lincoln
140186	28	company:07893665	2013-01-11	The Griffin Schools Trust
140187	28	company:07885963	2014-01-01	Chapel St Community Schools Trust
140188	28	company:08179349	2013-01-11	Inspiration Trust
140189	28	company:08737435	2013-01-11	Diocese of Norwich Education Academies Trust
140190	28	company:06182612	2013-01-12	David Ross Education Trust (DRET)
140191	28	company:06182612	2013-01-11	David Ross Education Trust (DRET)
140193	28	company:07949111	2014-01-01	Hatton Academies Trust
140195	28	company:08786812	2013-01-12	Chesterton Academies Trust
140196	28	company:07523436	2013-01-11	Windsor Academy Trust
140197	33	company:08878604	2014-01-04	Whitefield Schools and Centre
140198	28	company:08452281	2015-01-09	REAch2
140199	28	company:06982127	2013-01-11	Ormiston Academies Trust
140207	28		2015-01-09	Bourton Meadow Academy
140208	28	company:06228587	2014-01-09	Harris Federation
140209	28	company:05398529	2015-01-09	Oasis Community Learning
140210	28	company:04468267	2014-01-09	The Mossbourne Federation
140211	28	company:08595545	2014-01-09	University of Chichester Academy Trust, West Sussex
140212	28	company:07702460		The Aldridge Foundation
140213	28	company:07493696		West London Free School Academy Trust
140214	28	company:07318714	2014-01-09	Bourne Abbey Church of England Primary Academy
140215	28	company:07359755	2014-01-09	The Thinking Schools Academy Trust
140216	28	company:06207590		Cabot Learning Federation
140217	33	company:08334745	2014-01-09	MacIntyre
140218	28	company:05398529	2014-01-09	Oasis Community Learning
140219	28	company:05398529	2014-01-09	Oasis Community Learning
140220	28	company:08168307	2014-01-09	The Collaborative Academies Trust
140221	28	company:08589525	2014-01-09	London South Bank University
140222	28	company:05398529		Oasis Community Learning
140223	28	company:08024396	2014-01-09	The Mead Academy Trust
140224	28	company:06457394	2014-01-09	Wellington College
140228	34	company:08702006		
140229	34	company:08682513		
140230	34	company:08674696		
140231	34	company:08554393	2013-01-10	
140232	28		2013-01-12	Askel Veur - Diocese of Truro
140234	34	company:08071176	2013-01-10	Focus-Trust
140235	34	company:08682863		
140236	34	company:08640614		
140237	34	company:07674473	2013-01-10	Vale Academy Trust
140238	34	company:08658210		
140239	34	company:08296921	2013-01-10	L.E.A.D. Multi-Academy Trust
140240	44	company:08610537	2013-01-10	
140241	42	company:08610537	2013-01-10	
140242	34	company:08654591		Hoyland Common Primary School
140243	34	company:08657975		
140244	44	company:08610537	2013-01-10	
140245	34	company:08684289		
140246	34	company:08682547		
140247	34	company:08682479		
140248	34	company:08678162	2013-01-10	President Kennedy School Academy
140249	34	company:08663956	2013-01-10	
140250	34	company:08670599	2013-01-10	Lumen Learning Trust
140251	34	company:08423592		
140252	42	company:07919427	2013-01-10	St Pauls Catholic School
140253	34			Symphony Learning Trust
140254	34	company:08290708		
140255	34	company:07674473	2013-01-10	Vale Academy Trust
140256	34	company:08576427		
140257	34	company:08657831		
140258	34	company:08637890		
140259	34	company:07844791	2016-01-09	The Olympus Academy Trust
140260	34	company:07543202		Leo Academy Trust
140261	44	company:08658515		
140262	34			
140263	34		2013-01-10	The Hamwic Trust
140264	34	company:08075785	2013-03-10	The White Horse Federation
140265	40	company:07911604		
140267	28	company:08859774	2014-01-09	Educate Together Academy Trust
140268	28	company:05398529	2015-01-09	Oasis Community Learning
140269	28	company:06511936	2015-01-09	Merchant Venturers, The Society of
140275	28	company:08395383	2014-01-09	North Carr Collaborative Academies Trust
140276	34	company:08699391		
140277	44	company:08722556		
140278	34	company:07977368	2013-01-11	
140279	34	company:08722647		
140280	34	company:08732018		
140281	34	company:07546141	2013-01-11	Bedfordshire East Multi Academy Trust (BEMAT)
140282	34	company:08076374	2013-01-11	The Flying High Trust
140283	34	company:07977368	2013-01-11	
140284	34	company:08713217		
140285	34	company:08657945	2013-01-11	Newstead Primary Multi Academy Trust
140286	44	company:08712137		
140287	34	company:08709352	2013-01-11	The All Saints Collegiate MAC (South Stoke)
140288	34	company:08663011	2013-01-11	
140289	34	company:08714452		
140290	34	company:08684300		
140291	34	company:08714241		
140292	34	company:08565135		
140293	34	company:07977368	2013-01-11	
140294	34	company:08661539	2013-01-11	
140295	34	company:08731777		
140296	34	company:08709352	2013-01-11	The All Saints Collegiate MAC (South Stoke)
140297	34	company:08709352	2013-01-11	The All Saints Collegiate MAC (South Stoke)
140298	34	company:08709352	2013-01-11	The All Saints Collegiate MAC (South Stoke)
140299	34	company:08526973	2013-01-11	Diocese of Lichfield
140300	34	company:08615792		
140301	34	company:07977368	2013-01-11	
140302	34	company:08713214		
140303	34	company:08296921	2013-01-11	L.E.A.D. Multi-Academy Trust
140304	34	company:08709352	2013-01-11	The All Saints Collegiate MAC (South Stoke)
140305	34			Preston CofE VC Primary School
140306	34	company:08701329		
140307	34	company:07977368	2013-01-11	
140308	34	company:08667123		
140309	34	company:08741704		
140310	34	company:07697171	2013-01-11	Tapton School Academy trust
140311	34	company:07185046	2013-01-11	University of Brighton
140312	34	company:07547039	2013-01-11	Castleford Academy
140313	34	company:08738750	2016-01-09	The Primary First Trust
140314	34	company:08698831	2013-01-11	Beaver Road Primary School
140315	34	company:08702056		
140316	34	company:08104111	2013-01-11	Discovery Schools Academies Trust Ltd
140317	34	company:08138372	2013-01-11	Diocese of Leicester Academies Trust (DLAT)
140318	34	company:07387540	2013-01-11	ASPIRE Academy Trust
140319	34	company:08693259		
140320	34	company:08738750	2013-01-11	The Primary First Trust
140321	34	company:08738750	2013-01-11	The Primary First Trust
140322	34	company:08681270	2013-01-11	
140323	34	company:08681270	2013-01-11	
140324	34	company:08718104	2013-01-11	Cleves Cross Primary School
140325	44	company:08374351	2013-01-11	Mary Rose School
140326	34	company:08529006		The Halifax Academy
140327	28	company:06864339	2014-01-01	Greenwood Academies Trust
140328	28	company:07394649	2013-01-12	Trenance Learning Academy Trust (TLAT)
140329	28	company:08395421	2015-01-09	Tall Oaks Academies Trust
140332	28	company:07394649	2013-01-12	Trenance Learning Academy Trust (TLAT)
140333	28	company:07386086	2013-01-12	School Partnership Trust Academies (SPTA)
140334	28		2013-01-12	Askel Veur - Diocese of Truro
140335	28	company:08146330	2013-01-12	The Park Federation Academy Trust
140336	28	company:08289583	2014-01-04	Lilac Sky Academy Trust
140337	28	company:08445158	2013-01-12	Pontefract Academies Trust
140338	28	company:08289583	2014-01-04	Lilac Sky Academy Trust
140339	28	company:07887259	2013-01-12	Goldsworth Primary School
140340	28	company:08665067	2013-01-12	Diocese of Hallam
140341	28	company:08745639	2014-01-09	Diocese of Sheffield Trust
140342	28		2013-01-12	Askel Veur - Diocese of Truro
140343	28	company:08737412	2014-01-01	Diocese of Lincoln
140344	28	company:08143249	2014-01-03	Diocese of Oxford
140345	28	company:07738386	2013-01-12	The Village Academy Trust
140347	28		2013-01-12	Askel Veur - Diocese of Truro
140348	28	company:07597068	2013-01-12	The Howard Partnership Trust
140349	28	company:07551959	2013-01-12	GLF Schools
140350	28	company:07551959	2013-01-12	GLF Schools
140351	28	company:08656655	2013-01-12	Diocese of Salisbury
140352	28	company:08656655	2013-01-12	Diocese of Salisbury
140353	28	company:07462885	2015-01-09	Wakefield City Academies Trust
140355	28	company:08881720	2014-01-03	CECET The Church of England Central Education Trust
140357	28	company:07726568	2014-01-04	Southwark Primary School Trust
140358	28	company:02303464	2014-01-01	Dixons Academy Trust
140359	28	company:07492165	2014-01-03	North East Learning Trust
140362	28	company:08149829	2014-01-01	EMLC Academy Trust
140363	28	company:07338780	2014-01-01	CWA Academy Trust
140364	28	company:06982127	2014-01-01	Ormiston Academies Trust
140366	28	company:06672920	2014-01-01	Sidney Stringer Academy Trust
140367	28	company:08709542	2016-01-09	Diocese of Chelmsford
140368	28		2015-01-02	Bourton Meadow Academy
140369	28	company:07875164	2014-01-04	Bluecoat Academy
140370	28	company:08149829	2014-01-01	EMLC Academy Trust
140371	28	company:08422015	2014-01-01	Diocese of Coventry
140372	28	company:08221088	2014-01-01	NET Academies Trust (NETAT)
140373	28	company:07540236	2014-01-01	Brampton Manor Trust
140374	28	company:06982127	2014-01-01	Ormiston Academies Trust
140375	28	company:08823327	2014-01-04	Eveleigh LINK Academy Trust
140376	28	company:08130508	2014-01-01	Waldegrave School for Girls
