school	address
101174	10033569430
101175	100023298035
101176	100023113350
101177	100023123010
101178	100023340247
101179	100023479908
101181	100023434140
101182	100023482156
101184	100023514828
101185	100044199
101186	100044199
101187	100016164
101188	10023599479
101189	10023592639
101190	100055799
101191	100055799
101192	100026487
101193	100026487
101194	100038904
101195	100038904
101196	10023590931
101197	10023590931
101198	100102847
101199	100102847
101200	100034774
101201	100010203
101202	100071495
101203	100003551
101204	100040853
101205	100040853
101206	100011363
101207	100011363
101208	100000888
101209	100102862
101210	100071065
101211	100057755
101213	100007499
101214	100016685
101215	100016685
101216	100069290
101217	100000885
101218	100000885
101219	100089927
101221	10023591475
101222	10023591475
101223	100041343
101224	100027162
101225	100034774
101226	100010203
101227	100057782
101228	100035247
101229	100006386
101230	100014838
101231	100026818
101232	100068533
101233	100058310
101234	100041343
101235	100102849
101236	100006643
101237	100068866
101238	100003356
101239	100004827
101240	100089928
101241	100026487
101242	100065565
101243	10023597701
101244	100046984
101246	100090979
101247	100089964
101249	100102827
101251	200016015
101252	200056304
101253	200084393
101254	200078623
101255	200152718
101256	200103656
101258	200103656
101259	200219401
101262	200063516
101263	200063516
101264	200221915
101265	200032330
101266	200017997
101267	200023491
101268	200023491
101269	200093827
101270	200026860
101271	200027767
101272	200029602
101273	200152162
101274	200152162
101275	200095610
101276	200058551
101277	200058551
101278	200159112
101279	200018591
101280	200146204
101281	200021980
101282	200021980
101283	200117564
101284	200050909
101285	200112263
101286	200009885
101289	200007104
101290	200105813
101291	200061083
101292	200061083
101293	200070370
101294	200084393
101295	200082921
101296	200002449
101297	200029817
101298	200105054
101299	200096048
101300	200152306
101301	200152306
101302	200124117
101303	200124117
101304	200152309
101305	200048333
101306	200048333
101307	200228418
101308	200166605
101309	200020379
101310	200166605
101311	200057880
101312	200111885
101313	200111885
101314	200127374
101315	200028892
101316	200018590
101317	200078813
101318	200019070
101319	200028426
101320	200095313
101321	200111790
101322	200095313
101323	200033129
101324	200022412
101325	200113813
101326	200117009
101327	200118627
101328	200023032
101329	200088135
101330	200117565
101331	200012852
101332	200117731
101333	200119862
101334	200117011
101335	200035597
101336	200211163
101337	200211163
101338	200199537
101339	200166605
101340	200047630
101341	200148669
101342	200116457
101343	200220704
101345	200058625
101346	200007343
101347	200202289
101348	200206284
101349	200090093
101350	200035306
101351	200159941
101352	200110196
101353	200121478
101354	200020345
101355	200095610
101356	200021060
101357	200049286
101358	200096027
101359	200131283
101360	200034072
101361	200084180
101362	200130305
101363	200020023
101364	200051882
101365	200055606
101366	200065360
101367	200117014
101368	200113733
101369	200086130
101370	200098215
101371	200117014
101372	200081441
101373	200147700
101374	200019070
101375	200066302
101376	200055094
101377	200042136
101378	200055895
101379	200222373
101380	200015468
101381	200085723
101382	200150895
101383	200049674
101385	200150895
101386	200042367
101387	200148911
101388	200109473
101389	200033491
101391	200199101
101392	202058898
101393	200221492
101394	200058161
101395	200159112
101396	200088140
101397	200202289
101398	10011861192
101399	100023249697
101400	10011847212
101401	100022922986
101402	100022922769
101403	100022920304
101404	100022920308
101405	10011847857
101406	10011847857
101407	100022922574
101408	100022920232
101410	100022922985
101411	10011861199
101412	10011861199
101413	10023302391
101415	100022920260
101416	100022918377
101417	100022923164
101418	100022924223
101419	10011847212
101420	10011861192
101421	10011861192
101422	100022923704
101423	10011843981
101424	100022921434
101425	200002784028
101426	100022918729
101427	100022920017
101428	100022919943
101429	100022919553
101430	10011846627
101431	10011847212
101432	100023249697
101433	100022924251
101434	100023283287
101435	100023249721
101436	100022923137
101437	100022921966
101438	200002784028
101439	100022920101
101440	100023523415
101441	100022921967
101442	100022918761
101443	10011846940
101444	100023267212
101445	100022918515
101446	100022922256
101447	10011847837
101448	100022921232
101449	100022922987
101450	100022923251
101451	10011862654
101452	10011862031
101453	10011845095
101454	100022918378
101455	100022920750
101456	100022919945
101457	100022918375
101458	100022924249
101459	100022922864
101460	100022921965
101461	10023305285
101462	100022920305
101463	100022922348
101464	100022920306
101465	100022920021
101466	100022920014
101467	100022920147
101468	100022924029
101469	10011848982
101470	10011861888
101471	10011844903
101473	100022924250
101474	100022924250
101477	100022922408
101478	100022922574
101479	100022922019
101480	10011846068
101481	100022919508
101482	100022918545
101483	10011846818
101484	100022919521
101485	100022921268
101486	100022918375
101488	100022920230
101489	202025788
101491	202112384
101492	202025598
101494	10010576761
101495	202025851
101497	202025829
101498	202025818
101499	202025755
101500	202025690
101501	202025690
101502	202025575
101503	202025724
101504	202025713
101505	202025706
101506	202025706
101507	202025702
101508	202138641
101509	202025653
101510	202025640
101511	202025634
101512	202025634
101513	202025580
101514	202025580
101515	202138624
101516	202153414
101517	202153414
101518	202025553
101519	202138631
101520	202025785
101521	202025586
101522	202025680
101523	202025741
101524	202025833
101525	202025766
101526	202025814
101527	202016173
101528	202025666
101529	202025763
101530	202025692
101531	202025770
101532	202025840
101533	202025806
101534	202025751
101535	202025637
101536	202025650
101537	202025602
101538	202025663
101539	202025617
101540	202025595
101541	202025595
101542	202025605
101543	202025591
101544	202025796
101545	202025656
101546	202025620
101547	202025660
101548	202025609
101549	202025578
101550	202025572
101551	202025561
101552	202025669
101553	202025684
101554	202025702
101555	202025613
101556	202025737
101557	202025803
101558	202025793
101559	202025720
101560	202025849
101561	202025799
101562	202025862
101563	202025624
101564	202025825
101565	202025745
101566	202025745
101567	202025646
101568	100023037242
101569	202119478
101570	202129258
101571	202032314
101573	202025586
101576	202046232
101577	202025729
101578	202127445
101579	202025557
101580	202205215
101581	202025773
101582	202025810
101583	202205215
101584	100022892722
101585	100023263622
101586	100022892764
101587	100022895468
101588	10003615044
101589	10070009474
101590	10013150549
101591	10013150549
101592	100022895467
101593	10003626375
101594	100023250902
101595	100022897876
101596	100022894066
101597	100022889821
101598	10013152112
101599	10013152112
101600	10003626741
101601	100022892091
101602	100022891266
101603	100022900968
101604	10070006883
101605	100023528235
101606	100023283952
101607	100023283755
101608	10070004907
101609	100023390577
101610	100022899498
101611	10003629812
101612	10003626226
101613	10003626226
101614	100022899961
101615	100022899825
101616	10003616532
101617	100022899962
101618	100023528388
101619	100023528388
101620	100022900219
101621	100022900219
101622	100022898902
101623	10003628504
101624	100022900359
101625	10003626466
101626	10003626466
101627	10003616535
101628	10070009510
101629	100023252427
101630	100023249826
101631	10070009510
101632	100022898705
101633	10003628053
101634	10070011826
101635	100022901042
101636	100022887854
101637	100023390577
101639	10070004907
101640	100023631536
101641	100022898277
101642	100022892376
101643	10070013808
101644	10003615557
101645	100022887633
101646	100023390809
101647	10003629173
101648	100022891267
101649	100022900779
101650	10003625976
101651	10003626086
101652	100023283955
101653	10003626388
101654	10003627912
101655	10003628974
101656	10003626227
101657	100022894062
101658	10003626226
101659	100022898904
101660	10003629812
101661	10003628029
101662	100022896623
101663	100022891508
101664	100022890825
101665	100022891854
101666	100022900477
101667	100022900479
101668	100022894311
101669	100022891942
101670	100022894465
101671	100022900369
101672	100023528723
101673	100022891716
101674	100022900922
101675	100023390693
101676	100023631380
101678	100022894310
101679	100022892370
101680	100022900778
101681	100022891713
101682	10003615638
101683	100020392537
101684	100022887854
101687	100022896625
101690	100023528793
101691	10003615638
101692	100022887553
101694	100022888033
