urn	establishment-type	establishment-group-type
100000	Voluntary Aided School	LA maintained schools
100001	Other Independent School	Independent schools
100002	Other Independent School	Independent schools
100003	Other Independent School	Independent schools
100004	LA Nursery School	LA maintained schools
100005	LA Nursery School	LA maintained schools
100006	Pupil Referral Unit	LA maintained schools
100007	Pupil Referral Unit	LA maintained schools
100008	Community School	LA maintained schools
100009	Community School	LA maintained schools
100010	Community School	LA maintained schools
100011	Community School	LA maintained schools
100012	Community School	LA maintained schools
100013	Community School	LA maintained schools
100014	Community School	LA maintained schools
100015	Community School	LA maintained schools
100016	Community School	LA maintained schools
100017	Community School	LA maintained schools
100018	Community School	LA maintained schools
100019	Community School	LA maintained schools
100020	Community School	LA maintained schools
100021	Community School	LA maintained schools
100022	Community School	LA maintained schools
100023	Community School	LA maintained schools
100024	Community School	LA maintained schools
100025	Community School	LA maintained schools
100026	Community School	LA maintained schools
100027	Community School	LA maintained schools
100028	Voluntary Aided School	LA maintained schools
100029	Voluntary Aided School	LA maintained schools
100030	Voluntary Aided School	LA maintained schools
100031	Voluntary Aided School	LA maintained schools
100032	Voluntary Aided School	LA maintained schools
100033	Voluntary Aided School	LA maintained schools
100034	Voluntary Aided School	LA maintained schools
100035	Voluntary Aided School	LA maintained schools
100036	Voluntary Aided School	LA maintained schools
100037	Voluntary Aided School	LA maintained schools
100038	Voluntary Aided School	LA maintained schools
100039	Voluntary Aided School	LA maintained schools
100040	Voluntary Aided School	LA maintained schools
100041	Voluntary Aided School	LA maintained schools
100042	Voluntary Aided School	LA maintained schools
100043	Voluntary Aided School	LA maintained schools
100044	Voluntary Aided School	LA maintained schools
100045	Voluntary Aided School	LA maintained schools
100046	Voluntary Aided School	LA maintained schools
100047	Voluntary Aided School	LA maintained schools
100048	Voluntary Aided School	LA maintained schools
100049	Community School	LA maintained schools
100050	Community School	LA maintained schools
100051	Community School	LA maintained schools
100052	Community School	LA maintained schools
100053	Community School	LA maintained schools
100054	Voluntary Aided School	LA maintained schools
100055	Voluntary Aided School	LA maintained schools
100056	Voluntary Aided School	LA maintained schools
100057	Voluntary Aided School	LA maintained schools
100059	Voluntary Aided School	LA maintained schools
100060	Foundation Special School	Special schools
100061	Other Independent School	Independent schools
100062	Other Independent School	Independent schools
100063	Other Independent School	Independent schools
100064	Other Independent School	Independent schools
100065	Other Independent School	Independent schools
100066	Other Independent School	Independent schools
100067	Other Independent School	Independent schools
100068	Other Independent School	Independent schools
100069	Other Independent School	Independent schools
100070	Other Independent School	Independent schools
100071	Other Independent School	Independent schools
100072	Other Independent School	Independent schools
100073	Other Independent School	Independent schools
100074	Other Independent School	Independent schools
100075	Other Independent School	Independent schools
100076	Other Independent School	Independent schools
100077	Other Independent School	Independent schools
100078	Other Independent School	Independent schools
100079	Other Independent School	Independent schools
100080	Other Independent School	Independent schools
100081	Other Independent School	Independent schools
100082	Other Independent School	Independent schools
100083	Other Independent School	Independent schools
100084	Other Independent School	Independent schools
100085	Other Independent School	Independent schools
100086	Other Independent School	Independent schools
100087	Other Independent School	Independent schools
100088	Other Independent School	Independent schools
100089	Other Independent School	Independent schools
100090	Other Independent School	Independent schools
100091	Community Special School	Special schools
100092	Community Special School	Special schools
100093	Community Special School	Special schools
100094	Community Special School	Special schools
100095	Community Special School	Special schools
100096	Community Special School	Special schools
100097	LA Nursery School	LA maintained schools
100098	LA Nursery School	LA maintained schools
100099	LA Nursery School	LA maintained schools
100100	LA Nursery School	LA maintained schools
100101	LA Nursery School	LA maintained schools
100102	LA Nursery School	LA maintained schools
100103	Pupil Referral Unit	LA maintained schools
100104	Pupil Referral Unit	LA maintained schools
100105	Pupil Referral Unit	LA maintained schools
100106	Pupil Referral Unit	LA maintained schools
100107	Pupil Referral Unit	LA maintained schools
100108	Pupil Referral Unit	LA maintained schools
100109	Community School	LA maintained schools
100110	Community School	LA maintained schools
100111	Community School	LA maintained schools
100112	Community School	LA maintained schools
100113	Community School	LA maintained schools
100114	Community School	LA maintained schools
100115	Community School	LA maintained schools
100116	Community School	LA maintained schools
100117	Community School	LA maintained schools
100118	Community School	LA maintained schools
100119	Community School	LA maintained schools
100120	Community School	LA maintained schools
100121	Community School	LA maintained schools
100122	Community School	LA maintained schools
100123	Community School	LA maintained schools
100124	Community School	LA maintained schools
100125	Community School	LA maintained schools
100126	Community School	LA maintained schools
100127	Community School	LA maintained schools
100128	Community School	LA maintained schools
100129	Community School	LA maintained schools
100130	Community School	LA maintained schools
100131	Community School	LA maintained schools
100132	Community School	LA maintained schools
100133	Community School	LA maintained schools
100134	Community School	LA maintained schools
100135	Community School	LA maintained schools
100136	Community School	LA maintained schools
100137	Community School	LA maintained schools
100138	Community School	LA maintained schools
100139	Community School	LA maintained schools
100140	Community School	LA maintained schools
100141	Community School	LA maintained schools
100142	Community School	LA maintained schools
100143	Community School	LA maintained schools
100144	Community School	LA maintained schools
100145	Community School	LA maintained schools
100146	Community School	LA maintained schools
100147	Community School	LA maintained schools
100148	Community School	LA maintained schools
100149	Community School	LA maintained schools
100150	Community School	LA maintained schools
100151	Community School	LA maintained schools
100152	Community School	LA maintained schools
100153	Community School	LA maintained schools
100154	Community School	LA maintained schools
100155	Community School	LA maintained schools
100156	Community School	LA maintained schools
100157	Community School	LA maintained schools
100158	Community School	LA maintained schools
100159	Community School	LA maintained schools
100160	Community School	LA maintained schools
100161	Community School	LA maintained schools
100162	Community School	LA maintained schools
100163	Community School	LA maintained schools
100164	Community School	LA maintained schools
100165	Voluntary Aided School	LA maintained schools
100166	Voluntary Aided School	LA maintained schools
100167	Voluntary Aided School	LA maintained schools
100168	Voluntary Aided School	LA maintained schools
100169	Voluntary Aided School	LA maintained schools
100170	Voluntary Aided School	LA maintained schools
100171	Voluntary Aided School	LA maintained schools
100172	Voluntary Aided School	LA maintained schools
100173	Voluntary Aided School	LA maintained schools
100174	Voluntary Aided School	LA maintained schools
100175	Voluntary Aided School	LA maintained schools
100176	Voluntary Aided School	LA maintained schools
100177	Voluntary Aided School	LA maintained schools
100178	Voluntary Aided School	LA maintained schools
100179	Voluntary Aided School	LA maintained schools
100180	Voluntary Aided School	LA maintained schools
100181	Voluntary Aided School	LA maintained schools
100182	Community School	LA maintained schools
100183	Community School	LA maintained schools
100184	Community School	LA maintained schools
100185	Community School	LA maintained schools
100186	Community School	LA maintained schools
100187	Community School	LA maintained schools
100188	Foundation School	LA maintained schools
100189	Community School	LA maintained schools
100190	Community School	LA maintained schools
100191	Community School	LA maintained schools
100192	Voluntary Controlled School	LA maintained schools
100193	Voluntary Aided School	LA maintained schools
100194	Voluntary Aided School	LA maintained schools
100195	Voluntary Aided School	LA maintained schools
100196	Voluntary Aided School	LA maintained schools
100197	Foundation School	LA maintained schools
100198	Other Independent School	Independent schools
100199	Other Independent School	Independent schools
100200	Other Independent School	Independent schools
100201	Other Independent School	Independent schools
100202	Other Independent School	Independent schools
100203	Other Independent School	Independent schools
100204	Community Special School	Special schools
100205	Community Special School	Special schools
100206	Community Special School	Special schools
100207	Community Special School	Special schools
100208	Community Special School	Special schools
100209	Community Special School	Special schools
100210	Community Special School	Special schools
100211	Community Special School	Special schools
100212	LA Nursery School	LA maintained schools
100213	LA Nursery School	LA maintained schools
100214	Pupil Referral Unit	LA maintained schools
100215	Pupil Referral Unit	LA maintained schools
100216	Community School	LA maintained schools
100217	Community School	LA maintained schools
100218	Community School	LA maintained schools
100219	Community School	LA maintained schools
100220	Community School	LA maintained schools
100221	Community School	LA maintained schools
100222	Community School	LA maintained schools
100223	Community School	LA maintained schools
100224	Community School	LA maintained schools
100225	Community School	LA maintained schools
100226	Community School	LA maintained schools
100227	Community School	LA maintained schools
100228	Community School	LA maintained schools
100229	Community School	LA maintained schools
100230	Community School	LA maintained schools
100231	Community School	LA maintained schools
100232	Community School	LA maintained schools
100233	Community School	LA maintained schools
100234	Community School	LA maintained schools
100235	Community School	LA maintained schools
100236	Community School	LA maintained schools
100237	Community School	LA maintained schools
100238	Community School	LA maintained schools
100239	Community School	LA maintained schools
100240	Community School	LA maintained schools
100241	Community School	LA maintained schools
100242	Community School	LA maintained schools
100243	Community School	LA maintained schools
100244	Community School	LA maintained schools
100245	Community School	LA maintained schools
100246	Community School	LA maintained schools
100247	Community School	LA maintained schools
100248	Community School	LA maintained schools
100249	Community School	LA maintained schools
100250	Community School	LA maintained schools
100251	Community School	LA maintained schools
100252	Community School	LA maintained schools
100253	Community School	LA maintained schools
100254	Community School	LA maintained schools
100255	Community School	LA maintained schools
100256	Community School	LA maintained schools
100257	Community School	LA maintained schools
100258	Community School	LA maintained schools
100259	Community School	LA maintained schools
100260	Community School	LA maintained schools
100261	Community School	LA maintained schools
100262	Voluntary Aided School	LA maintained schools
100263	Voluntary Aided School	LA maintained schools
100264	Voluntary Aided School	LA maintained schools
100265	Voluntary Aided School	LA maintained schools
100266	Voluntary Aided School	LA maintained schools
100267	Voluntary Aided School	LA maintained schools
100268	Voluntary Aided School	LA maintained schools
100269	Voluntary Aided School	LA maintained schools
100270	Voluntary Aided School	LA maintained schools
100271	Voluntary Aided School	LA maintained schools
100272	Voluntary Aided School	LA maintained schools
100273	Voluntary Aided School	LA maintained schools
100274	Voluntary Aided School	LA maintained schools
100275	Voluntary Aided School	LA maintained schools
100276	Community School	LA maintained schools
100277	Community School	LA maintained schools
100278	Community School	LA maintained schools
100279	Community School	LA maintained schools
100280	Community School	LA maintained schools
100281	Community School	LA maintained schools
100282	Voluntary Aided School	LA maintained schools
100283	Voluntary Aided School	LA maintained schools
100284	Voluntary Aided School	LA maintained schools
100285	Voluntary Aided School	LA maintained schools
100286	Voluntary Aided School	LA maintained schools
100287	Other Independent School	Independent schools
100288	Other Independent School	Independent schools
100289	Other Independent School	Independent schools
100290	Other Independent School	Independent schools
100291	Other Independent School	Independent schools
100292	Other Independent School	Independent schools
100293	Other Independent School	Independent schools
100294	Other Independent School	Independent schools
100295	Other Independent School	Independent schools
100296	Other Independent School	Independent schools
100297	Other Independent School	Independent schools
100298	Other Independent School	Independent schools
100299	Other Independent School	Independent schools
100300	Other Independent School	Independent schools
100301	Other Independent School	Independent schools
100302	Other Independent School	Independent schools
100303	Other Independent School	Independent schools
100304	Other Independent School	Independent schools
100305	Other Independent School	Independent schools
100306	Other Independent School	Independent schools
100307	Community Special School	Special schools
100308	Community Special School	Special schools
100309	Community Special School	Special schools
100310	Community Special School	Special schools
100311	Community Special School	Special schools
100312	Community Special School	Special schools
100313	LA Nursery School	LA maintained schools
100314	LA Nursery School	LA maintained schools
100315	LA Nursery School	LA maintained schools
100316	LA Nursery School	LA maintained schools
100317	LA Nursery School	LA maintained schools
100318	LA Nursery School	LA maintained schools
100319	Pupil Referral Unit	LA maintained schools
100320	Pupil Referral Unit	LA maintained schools
100321	Community School	LA maintained schools
100322	Community School	LA maintained schools
100323	Community School	LA maintained schools
100324	Community School	LA maintained schools
100325	Foundation School	LA maintained schools
100326	Community School	LA maintained schools
100327	Community School	LA maintained schools
100328	Community School	LA maintained schools
100329	Community School	LA maintained schools
100330	Community School	LA maintained schools
100331	Community School	LA maintained schools
100332	Community School	LA maintained schools
100333	Community School	LA maintained schools
100334	Community School	LA maintained schools
100335	Community School	LA maintained schools
100336	Community School	LA maintained schools
100337	Community School	LA maintained schools
100338	Community School	LA maintained schools
100339	Community School	LA maintained schools
100340	Community School	LA maintained schools
100341	Community School	LA maintained schools
100342	Community School	LA maintained schools
100343	Community School	LA maintained schools
100344	Voluntary Aided School	LA maintained schools
100345	Voluntary Aided School	LA maintained schools
100346	Voluntary Aided School	LA maintained schools
100347	Voluntary Aided School	LA maintained schools
100348	Voluntary Aided School	LA maintained schools
100349	Voluntary Aided School	LA maintained schools
100350	Voluntary Aided School	LA maintained schools
100351	Voluntary Aided School	LA maintained schools
100352	Voluntary Aided School	LA maintained schools
100353	Voluntary Aided School	LA maintained schools
100354	Voluntary Aided School	LA maintained schools
100355	Voluntary Aided School	LA maintained schools
100356	Voluntary Aided School	LA maintained schools
100357	Voluntary Aided School	LA maintained schools
100358	Foundation School	LA maintained schools
100359	Foundation School	LA maintained schools
100360	Foundation School	LA maintained schools
100361	Community School	LA maintained schools
100362	Voluntary Aided School	LA maintained schools
100363	Voluntary Aided School	LA maintained schools
100364	Voluntary Aided School	LA maintained schools
100365	Voluntary Aided School	LA maintained schools
100366	Other Independent School	Independent schools
100367	Other Independent School	Independent schools
100368	Other Independent School	Independent schools
100369	Other Independent School	Independent schools
100370	Other Independent School	Independent schools
100371	Other Independent School	Independent schools
100372	Other Independent School	Independent schools
100373	Other Independent School	Independent schools
100374	Other Independent School	Independent schools
100375	Other Independent School	Independent schools
100376	Other Independent School	Independent schools
100377	Other Independent School	Independent schools
100378	Community Special School	Special schools
100379	Community Special School	Special schools
100380	Community Special School	Special schools
100381	Community Special School	Special schools
100382	Community Special School	Special schools
100383	Community Special School	Special schools
100384	LA Nursery School	LA maintained schools
100385	LA Nursery School	LA maintained schools
100386	LA Nursery School	LA maintained schools
100387	Pupil Referral Unit	LA maintained schools
100388	Pupil Referral Unit	LA maintained schools
100389	Pupil Referral Unit	LA maintained schools
100390	Pupil Referral Unit	LA maintained schools
100391	Pupil Referral Unit	LA maintained schools
100392	Pupil Referral Unit	LA maintained schools
100393	Pupil Referral Unit	LA maintained schools
100394	Pupil Referral Unit	LA maintained schools
100395	Pupil Referral Unit	LA maintained schools
100396	Community School	LA maintained schools
100397	Community School	LA maintained schools
100398	Community School	LA maintained schools
100399	Community School	LA maintained schools
100400	Community School	LA maintained schools
100401	Community School	LA maintained schools
100402	Community School	LA maintained schools
100403	Community School	LA maintained schools
100404	Community School	LA maintained schools
100405	Community School	LA maintained schools
100406	Community School	LA maintained schools
100407	Community School	LA maintained schools
100408	Community School	LA maintained schools
100409	Community School	LA maintained schools
100410	Community School	LA maintained schools
100411	Community School	LA maintained schools
100412	Community School	LA maintained schools
100413	Community School	LA maintained schools
100414	Community School	LA maintained schools
100415	Community School	LA maintained schools
100416	Community School	LA maintained schools
100417	Community School	LA maintained schools
100418	Community School	LA maintained schools
100419	Community School	LA maintained schools
100420	Community School	LA maintained schools
100421	Community School	LA maintained schools
100422	Community School	LA maintained schools
100423	Community School	LA maintained schools
100424	Community School	LA maintained schools
100425	Community School	LA maintained schools
100426	Community School	LA maintained schools
100427	Community School	LA maintained schools
100428	Community School	LA maintained schools
100429	Community School	LA maintained schools
100430	Community School	LA maintained schools
100431	Community School	LA maintained schools
100432	Community School	LA maintained schools
100433	Community School	LA maintained schools
100434	Community School	LA maintained schools
100435	Community School	LA maintained schools
100436	Voluntary Aided School	LA maintained schools
100437	Voluntary Aided School	LA maintained schools
100438	Voluntary Aided School	LA maintained schools
100439	Voluntary Aided School	LA maintained schools
100440	Voluntary Aided School	LA maintained schools
100441	Voluntary Aided School	LA maintained schools
100442	Voluntary Aided School	LA maintained schools
100443	Voluntary Aided School	LA maintained schools
100444	Voluntary Aided School	LA maintained schools
100445	Voluntary Aided School	LA maintained schools
100446	Voluntary Aided School	LA maintained schools
100447	Voluntary Aided School	LA maintained schools
100448	Voluntary Aided School	LA maintained schools
100449	Voluntary Aided School	LA maintained schools
100450	Voluntary Aided School	LA maintained schools
100451	Voluntary Aided School	LA maintained schools
100452	Community School	LA maintained schools
100453	Community School	LA maintained schools
100454	Community School	LA maintained schools
100455	Community School	LA maintained schools
100456	Community School	LA maintained schools
100457	Community School	LA maintained schools
100458	Voluntary Aided School	LA maintained schools
100459	Voluntary Aided School	LA maintained schools
100460	Voluntary Aided School	LA maintained schools
100461	Other Independent School	Independent schools
100462	Other Independent School	Independent schools
100463	Other Independent School	Independent schools
100464	Other Independent School	Independent schools
100465	Other Independent School	Independent schools
100466	Other Independent School	Independent schools
100467	Community Special School	Special schools
100468	Community Special School	Special schools
100469	Community Special School	Special schools
100470	Community Special School	Special schools
100471	Community Special School	Special schools
100472	LA Nursery School	LA maintained schools
100473	LA Nursery School	LA maintained schools
100474	LA Nursery School	LA maintained schools
100475	LA Nursery School	LA maintained schools
100476	Pupil Referral Unit	LA maintained schools
100477	Community School	LA maintained schools
100478	Community School	LA maintained schools
100479	Community School	LA maintained schools
100480	Community School	LA maintained schools
100481	Community School	LA maintained schools
100482	Community School	LA maintained schools
100483	Community School	LA maintained schools
100484	Community School	LA maintained schools
100485	Community School	LA maintained schools
100486	Community School	LA maintained schools
100487	Community School	LA maintained schools
100488	Community School	LA maintained schools
100489	Voluntary Aided School	LA maintained schools
100490	Voluntary Aided School	LA maintained schools
100491	Voluntary Aided School	LA maintained schools
100492	Voluntary Aided School	LA maintained schools
100493	Voluntary Aided School	LA maintained schools
100494	Voluntary Aided School	LA maintained schools
100495	Voluntary Aided School	LA maintained schools
100496	Voluntary Aided School	LA maintained schools
100497	Voluntary Aided School	LA maintained schools
100498	Voluntary Aided School	LA maintained schools
100499	Voluntary Aided School	LA maintained schools
100500	Voluntary Aided School	LA maintained schools
100501	Community School	LA maintained schools
100502	Voluntary Aided School	LA maintained schools
100503	Voluntary Aided School	LA maintained schools
100504	Voluntary Aided School	LA maintained schools
100505	Voluntary Aided School	LA maintained schools
100506	Voluntary Aided School	LA maintained schools
100507	Other Independent School	Independent schools
100508	Other Independent School	Independent schools
100509	Other Independent School	Independent schools
100510	Other Independent School	Independent schools
100511	Other Independent School	Independent schools
100512	Other Independent School	Independent schools
100513	Other Independent School	Independent schools
100514	Other Independent School	Independent schools
100515	Other Independent School	Independent schools
100516	Other Independent School	Independent schools
100517	Other Independent School	Independent schools
100518	Other Independent School	Independent schools
100519	Other Independent School	Independent schools
100520	Other Independent School	Independent schools
100521	Other Independent School	Independent schools
100522	Other Independent School	Independent schools
100523	Other Independent School	Independent schools
100524	Other Independent School	Independent schools
100526	Other Independent School	Independent schools
100527	Other Independent School	Independent schools
100528	Other Independent School	Independent schools
100529	Other Independent School	Independent schools
100530	Other Independent School	Independent schools
100531	Other Independent School	Independent schools
100532	Other Independent School	Independent schools
100533	Other Independent School	Independent schools
100534	Other Independent School	Independent schools
100535	Other Independent School	Independent schools
100536	Other Independent School	Independent schools
100537	Other Independent School	Independent schools
100538	Other Independent School	Independent schools
100539	Other Independent School	Independent schools
100540	Other Independent School	Independent schools
100541	Other Independent School	Independent schools
100542	Other Independent School	Independent schools
100543	Other Independent School	Independent schools
100544	Other Independent School	Independent schools
100545	Other Independent School	Independent schools
100546	Other Independent School	Independent schools
100547	Other Independent School	Independent schools
100548	Foundation Special School	Special schools
100549	Community Special School	Special schools
100550	LA Nursery School	LA maintained schools
100551	LA Nursery School	LA maintained schools
100552	LA Nursery School	LA maintained schools
100553	LA Nursery School	LA maintained schools
100554	LA Nursery School	LA maintained schools
100555	Pupil Referral Unit	LA maintained schools
100556	Community School	LA maintained schools
100557	Community School	LA maintained schools
100558	Community School	LA maintained schools
100559	Community School	LA maintained schools
100560	Community School	LA maintained schools
100561	Community School	LA maintained schools
100562	Community School	LA maintained schools
100563	Community School	LA maintained schools
100564	Community School	LA maintained schools
100565	Community School	LA maintained schools
100566	Community School	LA maintained schools
100567	Community School	LA maintained schools
100568	Community School	LA maintained schools
100569	Community School	LA maintained schools
100570	Community School	LA maintained schools
100571	Community School	LA maintained schools
100572	Community School	LA maintained schools
100573	Community School	LA maintained schools
100574	Community School	LA maintained schools
100575	Community School	LA maintained schools
100576	Community School	LA maintained schools
100577	Community School	LA maintained schools
100578	Community School	LA maintained schools
100579	Community School	LA maintained schools
100580	Community School	LA maintained schools
100581	Community School	LA maintained schools
100582	Community School	LA maintained schools
100583	Community School	LA maintained schools
100584	Community School	LA maintained schools
100585	Community School	LA maintained schools
100586	Community School	LA maintained schools
100587	Community School	LA maintained schools
100588	Community School	LA maintained schools
100589	Community School	LA maintained schools
100590	Community School	LA maintained schools
100591	Foundation School	LA maintained schools
100592	Community School	LA maintained schools
100593	Community School	LA maintained schools
100594	Community School	LA maintained schools
100595	Community School	LA maintained schools
100596	Community School	LA maintained schools
100597	Community School	LA maintained schools
100598	Community School	LA maintained schools
100599	Community School	LA maintained schools
100600	Community School	LA maintained schools
100601	Community School	LA maintained schools
100602	Foundation School	LA maintained schools
100603	Community School	LA maintained schools
100604	Community School	LA maintained schools
100605	Community School	LA maintained schools
100606	Community School	LA maintained schools
100607	Community School	LA maintained schools
100608	Community School	LA maintained schools
100609	Voluntary Aided School	LA maintained schools
100610	Voluntary Aided School	LA maintained schools
100611	Voluntary Aided School	LA maintained schools
100612	Voluntary Aided School	LA maintained schools
100613	Voluntary Aided School	LA maintained schools
100614	Voluntary Aided School	LA maintained schools
100615	Voluntary Aided School	LA maintained schools
100616	Voluntary Aided School	LA maintained schools
100617	Voluntary Aided School	LA maintained schools
100618	Voluntary Aided School	LA maintained schools
100619	Voluntary Aided School	LA maintained schools
100620	Voluntary Aided School	LA maintained schools
100621	Voluntary Aided School	LA maintained schools
100622	Voluntary Aided School	LA maintained schools
100623	Voluntary Aided School	LA maintained schools
100624	Community School	LA maintained schools
100625	Community School	LA maintained schools
100626	Foundation School	LA maintained schools
100627	Voluntary Aided School	LA maintained schools
100628	Voluntary Aided School	LA maintained schools
100629	Voluntary Aided School	LA maintained schools
100630	Voluntary Aided School	LA maintained schools
100631	Voluntary Aided School	LA maintained schools
100632	Voluntary Aided School	LA maintained schools
100633	Voluntary Aided School	LA maintained schools
100634	Foundation School	LA maintained schools
100635	Foundation School	LA maintained schools
100636	Voluntary Aided School	LA maintained schools
100637	Voluntary Aided School	LA maintained schools
100638	Voluntary Aided School	LA maintained schools
100639	Foundation School	LA maintained schools
100640	Voluntary Aided School	LA maintained schools
100641	Voluntary Aided School	LA maintained schools
100642	Foundation School	LA maintained schools
100643	Foundation Special School	Special schools
100644	Other Independent School	Independent schools
100645	Other Independent School	Independent schools
100646	Other Independent School	Independent schools
100647	Other Independent School	Independent schools
100648	Other Independent School	Independent schools
100649	Other Independent School	Independent schools
100650	Other Independent School	Independent schools
100651	Other Independent School	Independent schools
100652	Other Independent School	Independent schools
100653	Other Independent School	Independent schools
100654	Community Special School	Special schools
100655	Community Special School	Special schools
100656	Community Special School	Special schools
100657	Community Special School	Special schools
100658	Community Special School	Special schools
100659	Community Special School	Special schools
100660	Foundation Special School	Special schools
100661	Foundation Special School	Special schools
100662	Community Special School	Special schools
100663	Community Special School	Special schools
100664	Community Special School	Special schools
100665	Community Special School	Special schools
100666	Community Special School	Special schools
100667	LA Nursery School	LA maintained schools
100668	LA Nursery School	LA maintained schools
100669	Pupil Referral Unit	LA maintained schools
100670	Pupil Referral Unit	LA maintained schools
100671	Community School	LA maintained schools
100672	Community School	LA maintained schools
100673	Community School	LA maintained schools
100674	Community School	LA maintained schools
100675	Community School	LA maintained schools
100676	Community School	LA maintained schools
100677	Community School	LA maintained schools
100678	Community School	LA maintained schools
100679	Community School	LA maintained schools
100680	Community School	LA maintained schools
100681	Community School	LA maintained schools
100682	Community School	LA maintained schools
100683	Community School	LA maintained schools
100684	Community School	LA maintained schools
100685	Community School	LA maintained schools
100686	Community School	LA maintained schools
100687	Community School	LA maintained schools
100688	Community School	LA maintained schools
100689	Community School	LA maintained schools
100690	Community School	LA maintained schools
100691	Community School	LA maintained schools
100692	Community School	LA maintained schools
100693	Community School	LA maintained schools
100694	Community School	LA maintained schools
100695	Community School	LA maintained schools
100696	Community School	LA maintained schools
100697	Community School	LA maintained schools
100698	Community School	LA maintained schools
100699	Community School	LA maintained schools
100700	Community School	LA maintained schools
100701	Community School	LA maintained schools
100702	Community School	LA maintained schools
100703	Community School	LA maintained schools
100704	Community School	LA maintained schools
100705	Community School	LA maintained schools
100706	Community School	LA maintained schools
100707	Community School	LA maintained schools
100708	Community School	LA maintained schools
100709	Community School	LA maintained schools
100710	Community School	LA maintained schools
100711	Community School	LA maintained schools
100712	Community School	LA maintained schools
100713	Community School	LA maintained schools
100714	Community School	LA maintained schools
100715	Community School	LA maintained schools
100716	Community School	LA maintained schools
100717	Community School	LA maintained schools
100718	Community School	LA maintained schools
100719	Voluntary Aided School	LA maintained schools
100720	Voluntary Aided School	LA maintained schools
100721	Voluntary Aided School	LA maintained schools
100722	Voluntary Aided School	LA maintained schools
100723	Voluntary Aided School	LA maintained schools
100724	Voluntary Aided School	LA maintained schools
100725	Voluntary Aided School	LA maintained schools
100726	Voluntary Aided School	LA maintained schools
100727	Voluntary Aided School	LA maintained schools
100728	Voluntary Aided School	LA maintained schools
100729	Voluntary Aided School	LA maintained schools
100730	Voluntary Aided School	LA maintained schools
100731	Voluntary Aided School	LA maintained schools
100732	Voluntary Aided School	LA maintained schools
100733	Voluntary Aided School	LA maintained schools
100734	Voluntary Aided School	LA maintained schools
100735	Voluntary Aided School	LA maintained schools
100736	Voluntary Aided School	LA maintained schools
100737	Voluntary Aided School	LA maintained schools
100738	Voluntary Aided School	LA maintained schools
100739	Voluntary Aided School	LA maintained schools
100740	Community School	LA maintained schools
100741	Community School	LA maintained schools
100742	Community School	LA maintained schools
100743	Community School	LA maintained schools
100744	Community School	LA maintained schools
100745	Community School	LA maintained schools
100746	Community School	LA maintained schools
100747	Foundation School	LA maintained schools
100748	Voluntary Aided School	LA maintained schools
100749	Voluntary Aided School	LA maintained schools
100750	Voluntary Aided School	LA maintained schools
100751	Voluntary Aided School	LA maintained schools
100752	Voluntary Aided School	LA maintained schools
100753	Foundation School	LA maintained schools
100754	Other Independent School	Independent schools
100755	Other Independent School	Independent schools
100756	Other Independent School	Independent schools
100757	Other Independent School	Independent schools
100758	Other Independent School	Independent schools
100759	City Technology College	Independent schools
100760	Foundation Special School	Special schools
100761	Community Special School	Special schools
100762	Community Special School	Special schools
100763	Community Special School	Special schools
100764	Community Special School	Special schools
100765	Community Special School	Special schools
100766	Foundation Special School	Special schools
100767	LA Nursery School	LA maintained schools
100768	LA Nursery School	LA maintained schools
100769	LA Nursery School	LA maintained schools
100770	LA Nursery School	LA maintained schools
100771	LA Nursery School	LA maintained schools
100772	Pupil Referral Unit	LA maintained schools
100773	Pupil Referral Unit	LA maintained schools
100774	Community School	LA maintained schools
100775	Community School	LA maintained schools
100776	Community School	LA maintained schools
100777	Community School	LA maintained schools
100778	Community School	LA maintained schools
100779	Community School	LA maintained schools
100780	Community School	LA maintained schools
100781	Foundation School	LA maintained schools
100782	Community School	LA maintained schools
100783	Community School	LA maintained schools
100784	Community School	LA maintained schools
100785	Community School	LA maintained schools
100786	Community School	LA maintained schools
100787	Community School	LA maintained schools
100788	Community School	LA maintained schools
100789	Community School	LA maintained schools
100790	Community School	LA maintained schools
100791	Community School	LA maintained schools
100792	Community School	LA maintained schools
100793	Community School	LA maintained schools
100794	Community School	LA maintained schools
100795	Community School	LA maintained schools
100796	Community School	LA maintained schools
100797	Community School	LA maintained schools
100798	Community School	LA maintained schools
100799	Community School	LA maintained schools
100800	Community School	LA maintained schools
100801	Community School	LA maintained schools
100802	Community School	LA maintained schools
100803	Community School	LA maintained schools
100804	Community School	LA maintained schools
100805	Community School	LA maintained schools
100806	Community School	LA maintained schools
100807	Community School	LA maintained schools
100808	Community School	LA maintained schools
100809	Community School	LA maintained schools
100810	Community School	LA maintained schools
100811	Community School	LA maintained schools
100812	Community School	LA maintained schools
100813	Community School	LA maintained schools
100814	Community School	LA maintained schools
100815	Community School	LA maintained schools
100816	Foundation School	LA maintained schools
100817	Community School	LA maintained schools
100818	Community School	LA maintained schools
100819	Community School	LA maintained schools
100820	Community School	LA maintained schools
100821	Community School	LA maintained schools
100822	Voluntary Aided School	LA maintained schools
100823	Voluntary Aided School	LA maintained schools
100824	Voluntary Aided School	LA maintained schools
100825	Voluntary Aided School	LA maintained schools
100826	Voluntary Aided School	LA maintained schools
100827	Voluntary Aided School	LA maintained schools
100828	Voluntary Aided School	LA maintained schools
100829	Voluntary Aided School	LA maintained schools
