urn	establishment-type	establishment-group-type
116920	Voluntary Aided School	LA maintained schools
116921	Voluntary Aided School	LA maintained schools
116922	Voluntary Aided School	LA maintained schools
116923	Voluntary Aided School	LA maintained schools
116924	Voluntary Aided School	LA maintained schools
116925	Voluntary Aided School	LA maintained schools
116926	Voluntary Aided School	LA maintained schools
116927	Community School	LA maintained schools
116928	Community School	LA maintained schools
116929	Community School	LA maintained schools
116930	Foundation School	LA maintained schools
116931	Community School	LA maintained schools
116932	Community School	LA maintained schools
116933	Foundation School	LA maintained schools
116934	Community School	LA maintained schools
116935	Community School	LA maintained schools
116936	Community School	LA maintained schools
116937	Foundation School	LA maintained schools
116938	Community School	LA maintained schools
116939	Community School	LA maintained schools
116940	Community School	LA maintained schools
116941	Community School	LA maintained schools
116942	Community School	LA maintained schools
116943	Community School	LA maintained schools
116944	Community School	LA maintained schools
116945	Community School	LA maintained schools
116946	Community School	LA maintained schools
116947	Community School	LA maintained schools
116948	Community School	LA maintained schools
116949	Community School	LA maintained schools
116950	Community School	LA maintained schools
116951	Community School	LA maintained schools
116952	Community School	LA maintained schools
116953	Foundation School	LA maintained schools
116954	Community School	LA maintained schools
116955	Community School	LA maintained schools
116956	Community School	LA maintained schools
116957	Community School	LA maintained schools
116958	Community School	LA maintained schools
116959	Community School	LA maintained schools
116960	Community School	LA maintained schools
116961	Community School	LA maintained schools
116962	Community School	LA maintained schools
116963	Community School	LA maintained schools
116964	Community School	LA maintained schools
116965	Community School	LA maintained schools
116966	Community School	LA maintained schools
116967	Community School	LA maintained schools
116968	Community School	LA maintained schools
116969	Community School	LA maintained schools
116970	Community School	LA maintained schools
116971	Community School	LA maintained schools
116972	Community School	LA maintained schools
116973	Community School	LA maintained schools
116974	Community School	LA maintained schools
116975	Community School	LA maintained schools
116976	Community School	LA maintained schools
116977	Community School	LA maintained schools
116978	Foundation School	LA maintained schools
116979	Community School	LA maintained schools
116980	Community School	LA maintained schools
116981	Voluntary Controlled School	LA maintained schools
116982	Voluntary Controlled School	LA maintained schools
116983	Voluntary Controlled School	LA maintained schools
116984	Voluntary Controlled School	LA maintained schools
116985	Voluntary Controlled School	LA maintained schools
116986	Voluntary Controlled School	LA maintained schools
116987	Voluntary Controlled School	LA maintained schools
116988	Voluntary Controlled School	LA maintained schools
116989	Voluntary Controlled School	LA maintained schools
116990	Voluntary Controlled School	LA maintained schools
116991	Voluntary Aided School	LA maintained schools
116992	Voluntary Aided School	LA maintained schools
116993	Voluntary Aided School	LA maintained schools
116994	Voluntary Aided School	LA maintained schools
116995	Voluntary Aided School	LA maintained schools
