Group UID,Group ID,Group Name,Companies House Number,Group Type (code),Group Type
2665,TR00483,Chipping Norton School Academy Trust,07929429,06,Multi-academy trust
2666,TR02600,Chipstead Valley Academy Trust,08891864,06,Multi-academy trust
2681,TR02599,Christ the King Catholic Collegiate,08933913,06,Multi-academy trust
2685,TR00498,Chulmleigh Academy Trust,07697698,06,Multi-academy trust
2695,TR02607,Cidari Education Limited,08822760,06,Multi-academy trust
2697,TR00507,"Cippenham Schools' Trust, The",07988376,06,Multi-academy trust
2703,TR00512,City Education Trust,08528776,06,Multi-academy trust
2705,TR00514,City of London Academies Trust,04504128,06,Multi-academy trust
2709,TR00516,City of Wolverhampton Academy Trust,06969900,06,Multi-academy trust
2719,TR00525,Cleves Cross Learning Trust,08718104,06,Multi-academy trust
2722,TR00526,East Anglia Schools Trust,08432486,06,Multi-academy trust
2727,TR00530,Cloughwood Academy Trust,08604799,06,Multi-academy trust
2729,TR00723,Coast Academies,07668923,06,Multi-academy trust
2731,TR00532,Coastal Academies Trust,07552665,06,Multi-academy trust
2741,TR00540,"Collaborative Academies Trust, The",08168307,06,Multi-academy trust
2743,TR00542,"College Academies Trust, The",07272906,06,Multi-academy trust
2744,TR00543,"Collegiate Academy Trust, The",06336693,06,Multi-academy trust
2748,TR00546,Colston's Girls' School Trust,06511936,06,Multi-academy trust
2753,TR00550,"Cam Academy Trust, The",07491945,06,Multi-academy trust
2755,TR00552,Community Academies Trust,07472736,06,Multi-academy trust
2757,TR00553,Community First Academy Trust,08359889,06,Multi-academy trust
2758,TR02754,Community Inclusive Trust,09071623,06,Multi-academy trust
2762,TR00555,"Complementary Education Academy Limited, The",08190591,06,Multi-academy trust
2765,TR00557,ConcertEd Multi Academy Trust,08718062,06,Multi-academy trust
2766,TR00558,Congleton Multi-Academy Trust,07538467,06,Multi-academy trust
2767,TR02679,Congleton Primary Academy Trust Limited,09024278,06,Multi-academy trust
2771,TR00562,Connected Learning,08579939,06,Multi-academy trust
2776,TR00566,"Coombe Secondary Schools Academy Trust, The",07905433,06,Multi-academy trust
2777,TR00567,"Co-operative Academies Trust, The",07747126,06,Multi-academy trust
2788,TR00580,Corpus Christi Catholic Academy Trust,07976019,06,Multi-academy trust
2791,TR00583,"Corsham School Academy Group, The",07550425,06,Multi-academy trust
2793,TR00585,"Cosmos Academy Trust, The",08662756,06,Multi-academy trust
2798,TR00590,"Cottenham Academy, The",07740815,06,Multi-academy trust
2813,TR02836,Craven Educational Trust,09023653,06,Multi-academy trust
2815,TR02939,Crawley Free School Trust,08339290,06,Multi-academy trust
2816,TR00604,Creative Education Trust,07617529,06,Multi-academy trust
2819,TR02768,Creative Learning Multi Academy Trust,09227333,06,Multi-academy trust
2824,TR00608,Crofton Schools Academy Trust,07824714,06,Multi-academy trust
2837,TR00619,Cuckoo Hall Academies Trust,07355559,06,Multi-academy trust
2840,TR00620,CWA Academy Trust,07338780,06,Multi-academy trust
2843,TR00623,Darlinghurst School Academy Trust,08807637,06,Multi-academy trust
2854,TR00633,The David Ross Education Trust,06182612,06,Multi-academy trust
2858,TR02365,Dayspring Trust,08310825,06,Multi-academy trust
2864,TR00637,"Dean Trust, The",08027943,06,Multi-academy trust
2870,TR01705,"Delta Education Trust, The",08382383,06,Multi-academy trust
2872,TR02585,Denbigh High School,07398940,06,Multi-academy trust
2878,TR00647,Derby College Education Trust,08072758,06,Multi-academy trust
2879,TR02659,Derby Diocesan Academy Trust,08980079,06,Multi-academy trust
2880,TR00648,Derby Pride Trust,07109892,06,Multi-academy trust
2886,TR00655,"Diamond Learning Partnership Trust, The",08062508,06,Multi-academy trust
2887,TR00656,Didcot Academy of Schools,08104201,06,Multi-academy trust
2893,TR00658,Diocese of Brentwood Multi Academy Trust,08610377,06,Multi-academy trust
2894,TR00659,Diocese of Bristol Academies Trust,08156759,06,Multi-academy trust
2897,TR02876,"Diocese of Canterbury Academies Trust, The",09035788,06,Multi-academy trust
2901,TR00660,"Diocese of Coventry Multi-academy Trust, The",08422015,06,Multi-academy trust
2905,TR00661,"Diocese of Ely Multi-academy Trust, The",08464996,06,Multi-academy trust
2907,TR00662,"Diocese of Gloucester Academies Trust, The",08149299,06,Multi-academy trust
2918,TR00663,The Diocese of Norwich Education and Academies Trust,08737435,06,Multi-academy trust
2922,TR00664,Diocese of Salisbury Multi Academy Trust,08656655,06,Multi-academy trust
2925,TR01983,Diocese Of Southwell And Nottingham Multi-Academy Trust,08738949,06,Multi-academy trust
2928,TR00665,"Diocese of Westminster Academy Trust, The",07944160,06,Multi-academy trust
2930,TR01588,Discover Learning Trust,08249250,06,Multi-academy trust
2932,TR00667,Discovery Schools Academies Trust Ltd,08104111,06,Multi-academy trust
2936,TR00669,Diverse Academies Trust,07664012,06,Multi-academy trust
2938,TR00670,Dixons Allerton Academy,06775198,06,Multi-academy trust
2939,TR00671,Dixons Academies Charitable Trust Ltd,02303464,06,Multi-academy trust
2941,TR00672,Djanogly Learning Trust,04544722,06,Multi-academy trust
2943,TR00674,"Dominic Barberi Multi Academy Company, The",08453966,06,Multi-academy trust
2953,TR00683,Downview Trust,08603388,06,Multi-academy trust
2958,TR00686,Drapers' Multi-Academy Trust,07035556,06,Multi-academy trust
2962,TR02728,"DS Academies Trust, The",08745639,06,Multi-academy trust
2963,TR00690,"Duchy Academy Trust, The",08842867,06,Multi-academy trust
2969,TR02620,Durrington Multi Academy Trust,08895870,06,Multi-academy trust
2974,TR00699,E-ACT,06526376,06,Multi-academy trust
2987,TR02426,East Midlands Education Trust,07530373,06,Multi-academy trust
3001,TR02566,Ebor Academy Trust,08806335,06,Multi-academy trust
3004,TR00722,"Eden Academy, The",08036395,06,Multi-academy trust
3009,TR02787,Educate Together Academy Trust,08859774,06,Multi-academy trust
3010,TR02745,Education And Leadership Trust,08913502,06,Multi-academy trust
3012,TR00725,Education Central Multi Academy Trust,08255492,06,Multi-academy trust
3013,TR00726,"Education Fellowship Trust, The",07848783,06,Multi-academy trust
3015,TR00727,Education for the 21st Century,07559170,06,Multi-academy trust
3016,TR00059,Education Partnership Trust,07950891,06,Multi-academy trust
3018,TR00729,"Education Village Academy Trust, The",07748248,06,Multi-academy trust
3019,TR00730,Edwin Jones Trust,08512105,06,Multi-academy trust
3025,TR00735,"Elliot Foundation Academies Trust, The",08116706,06,Multi-academy trust
3028,TR02266,"Dunham Trust, The",08120128,06,Multi-academy trust
3033,TR00741,EMLC Academy Trust,08149829,06,Multi-academy trust
3039,TR03041,"Engage, Enrich, Excel academies",09279884,06,Multi-academy trust
3042,TR00745,"Enquire Learning Trust, The",08056907,06,Multi-academy trust
3044,TR00747,"Epiphany School, The",07991877,06,Multi-academy trust
3047,TR00750,Equitas Academies Trust,07662289,06,Multi-academy trust
3052,TR00753,Erudition Schools Trust,07879288,06,Multi-academy trust
3053,TR02583,Esher Learning Trust,08812257,06,Multi-academy trust
3055,TR00754,Essa Foundation Academies Trust,06731593,06,Multi-academy trust
3062,TR00587,Evolution Academy Trust,08158619,06,Multi-academy trust
3063,TR00760,Evolution Schools Learning Trust,07596422,06,Multi-academy trust
3065,TR00761,Excalibur Academies Trust,08146633,06,Multi-academy trust
3066,TR00762,"Excel Academy Partnership, The",07837770,06,Multi-academy trust
3071,TR00766,Extol Academy Trust,08561360,06,Multi-academy trust
3072,TR00139,Eynsham Partnership Academy,07939655,06,Multi-academy trust
3073,TR02601,Fairchildes Academy Community Trust,08934482,06,Multi-academy trust
3076,TR00767,Fairfax Multi Academy Trust,07661164,06,Multi-academy trust
3080,TR00770,"Fallibroome Trust, The",07346144,06,Multi-academy trust
3083,TR00773,Faringdon Academy of Schools,07977368,06,Multi-academy trust
3090,TR00780,"Federation of Abbey Schools Academy Trust, The",07699775,06,Multi-academy trust
3091,TR00781,Federation of Mowden Schools Academy Trust,08027205,06,Multi-academy trust
3093,TR00783,Fennwood Academy Trust,08763832,06,Multi-academy trust
3104,TR00793,"First Federation Trust, The",07819870,06,Multi-academy trust
3107,TR00796,Fleetville Trust,08028375,06,Multi-academy trust
3111,TR00800,Flying High Trust,08076374,06,Multi-academy trust
3112,TR00801,Focus Academy Trust (UK) Ltd,08071176,06,Multi-academy trust
3115,TR00803,"Folkestone School for Girls Academy Trust, The",07882159,06,Multi-academy trust
3123,TR00810,Fort Pitt Grammar School Academy Trust,07401701,06,Multi-academy trust
3126,TR00812,The Partnership Trust,07728112,06,Multi-academy trust
3142,TR00826,"Fulham College Academy Trust, The",08398143,06,Multi-academy trust
3145,TR00828,Fulston Manor Academies Trust,07343725,06,Multi-academy trust
3147,TR00830,"Fulwood Academy, The",06960253,06,Multi-academy trust
3150,TR00833,Fusion Schools Trust,08663011,06,Multi-academy trust
3152,TR00834,Future Academies,06543442,06,Multi-academy trust
3154,TR00835,Future Schools Trust,06272751,06,Multi-academy trust
3155,TR00836,Fylde Coast Academy Trust,08364709,06,Multi-academy trust
3163,TR00842,Gateway Learning Community,05853746,06,Multi-academy trust
3166,TR00844,GDST Academy Trust,06000347,06,Multi-academy trust
3173,TR00848,"Gilberd School, The",07933810,06,Multi-academy trust
3185,TR00858,"Oadby, Wigston and Leicestershire Schools Academy Trust",08537140,06,Multi-academy trust
